record_id,redcap_survey_identifier,participant_information_sheet_informed_consent_timestamp,prolific_id,prolific_study_id,prolific_session_id,consent_01___1,consent_02___1,participant_information_sheet_informed_consent_complete,your_demographic_information_timestamp,demographics_age,demographics_sex,demographics_gender,demographics_gender_text,demographics_language,demographics_tz,demographics_occupation,attentioncheck_01,your_demographic_information_complete,template_timestamp,design_appearance,design_wearlikelihoodrating_public,design_wearlikelihoodrating_home,design_wearlikelihoodrating_work,design_wearlikelihoodrating_social,design_wearlikelihoodrating_exercise,design_wearduration,design_restrict,design_difficulty,design_check,template_complete,wrist_timestamp,design_appearance_wrist,design_wearlikelihoodrating_public_wrist,design_wearlikelihoodrating_home_wrist,design_wearlikelihoodrating_work_wrist,design_wearlikelihoodrating_social_wrist,design_wearlikelihoodrating_exercise_wrist,design_wearduration_wrist,design_restrict_wrist,design_difficulty_wrist,design_check_wrist,wrist_complete,collar_pin_timestamp,design_appearance_collarpin,design_wearlikelihoodrating_public_collarpin,design_wearlikelihoodrating_home_collarpin,design_wearlikelihoodrating_work_collarpin,attentioncheck_02,design_wearlikelihoodrating_social_collarpin,design_wearlikelihoodrating_exercise_collarpin,design_wearduration_collarpin,design_restrict_collarpin,design_difficulty_collarpin,design_check_collarpin,collar_pin_complete,glasses_timestamp,design_appearance_glasses,design_wearlikelihoodrating_public_glasses,design_wearlikelihoodrating_home_glasses,design_wearlikelihoodrating_work_glasses,design_wearlikelihoodrating_social_glasses,design_wearlikelihoodrating_exercise_glasses,design_wearduration_glasses,design_restrict_glasses,design_difficulty_glasses,design_check_glasses,glasses_complete,hat_pin_timestamp,design_appearance_glasses_hatpin,design_wearlikelihoodrating_public_glasses_hatpin,attentioncheck_03,design_wearlikelihoodrating_home_glasses_hatpin,design_wearlikelihoodrating_work_glasses_hatpin,design_wearlikelihoodrating_social_glasses_hatpin,design_wearlikelihoodrating_exercise_glasses_hatpin,design_wearduration_glasses_hatpin,design_restrict_glasses_hatpin,design_difficulty_glasses_hatpin,design_check_glasses_hatpin,hat_pin_complete,neck_loop_timestamp,design_appearance_neckloop,design_wearlikelihoodrating_public_neckloop,design_wearlikelihoodrating_home_neckloop,design_wearlikelihoodrating_work_neckloop,design_wearlikelihoodrating_social_neckloop,design_wearlikelihoodrating_exercise_neckloop,design_wearduration_neckloop,design_restrict_neckloop,design_difficulty_neckloop,design_check_neckloop,neck_loop_complete,chest_pin_timestamp,design_appearance_chestpin,design_wearlikelihoodrating_public_chestpin,design_wearlikelihoodrating_home_chestpin,design_wearlikelihoodrating_work_chestpin,design_wearlikelihoodrating_social_chestpin,design_wearlikelihoodrating_exercise_chestpin,design_wearduration_chestpin,design_restrict_chestpin,design_difficulty_chestpin,design_check_chestpin,chest_pin_complete,necklace_timestamp,design_appearance_necklace,design_wearlikelihoodrating_public_necklace,design_wearlikelihoodrating_home_necklace,design_wearlikelihoodrating_work_necklace,design_wearlikelihoodrating_social_necklace,design_wearlikelihoodrating_exercise_necklace,design_wearduration_necklace,design_restrict_necklace,design_difficulty_necklace,design_check_necklace,necklace_complete,sleeve_collar_timestamp,design_appearance_sleevecollar,design_wearlikelihoodrating_public_sleevecollar,design_wearlikelihoodrating_home_sleevecollar,design_wearlikelihoodrating_work_sleevecollar,design_wearlikelihoodrating_social_sleevecollar,design_wearlikelihoodrating_exercise_sleevecollar,design_wearduration_sleevecollar,design_restrict_sleevecollar,design_difficulty_sleevecollar,design_check_sleevecollar,sleeve_collar_complete,other_designs_timestamp,design_openended,design_feedback,other_designs_complete,completion_screen_timestamp,completion_screen_complete
34,,09.01.24 21:50,,,,1,1,2,09.01.24 21:51,68,2,1,,1,404,6,9,2,,,,,,,,,,,,0,09.01.24 21:54,4,6,6,6,6,6,7,1,none,On my wrist,2,09.01.24 21:56,4,6,6,6,19,6,6,7,1,none,On my shirt collar by my neck,2,09.01.24 21:58,3,4,5,3,4,5,6,2,Might make my glasses fall off,On my glasses,2,09.01.24 21:59,5,5,4,4,4,4,4,6,2,none,On my hat,2,09.01.24 22:00,5,6,6,6,6,6,6,1,Sleeping,Around my neck,2,09.01.24 22:01,5,6,6,6,6,6,7,1,none,Clipped to my shirt,2,09.01.24 22:02,5,6,6,6,6,6,7,1,none,Around my neck,2,09.01.24 22:03,4,6,6,6,6,6,7,1,none,Strapped around my upper arm,2,09.01.24 22:04,Headband,no,2,09.01.24 22:04,2
35,,09.01.24 21:50,,,,1,1,2,09.01.24 21:55,25,1,1,,1,397,7,9,2,,,,,,,,,,,,0,09.01.24 21:58,7,7,7,7,7,7,6,1,Swimming or taking a bath.,wrist,2,09.01.24 22:00,1,1,5,1,19,1,3,2,2,"Running, moving around a lot and taking a bath.",neck,2,09.01.24 22:02,4,5,5,5,2,2,4,5,When I need to use my real eyeglasses.,eyes,2,09.01.24 22:04,4,4,4,1,2,2,1,2,6,High energy activities where I don't wear a hat or it might fall.,head,2,09.01.24 22:05,2,2,3,3,3,2,1,6,Any activity that involves a lot of movement.,neck,2,09.01.24 22:08,5,4,7,7,4,7,6,1,when wearing tops instead of shirts or when taking a bath.,chest,2,09.01.24 22:10,4,7,6,4,2,4,4,2,Activities where I need to move freely.,chest,2,09.01.24 22:12,1,1,4,1,1,4,2,1,When taking a bath or wearing winter clothes.,arm,2,09.01.24 22:13,Wristband very thin.,"None, it went great.",2,09.01.24 22:13,2
36,,09.01.24 21:50,,,,1,1,2,09.01.24 21:51,22,1,1,,1,402,1,9,2,,,,,,,,,,,,0,09.01.24 21:53,5,4,5,3,5,5,5,1,Cooking and showering.,Comfortable,2,09.01.24 21:56,4,3,6,4,19,4,5,5,1,Maybe jogging? The fit might be flimsy.,Plain and simple,2,09.01.24 21:58,2,1,4,1,1,1,3,4,When it's raining or when I have do exercise (I don't like wearing glasses when running).,Inconvenient,2,09.01.24 21:59,3,3,4,5,2,3,1,4,1,Going out shopping. It makes me look suspicious.,A little bulky and noticable,2,09.01.24 22:00,3,4,5,1,4,1,4,2,Exercising. It looks like it would slip off.,Flimsy,2,09.01.24 22:03,4,5,6,3,4,4,5,1,None.,Convenient,2,09.01.24 22:04,4,5,7,3,5,2,5,3,It would get in the way of exercising.,A good placement,2,09.01.24 22:06,4,5,6,1,4,6,5,2,"Exercises that include arm strength, like lifting weights.",A little uncomfortable,2,09.01.24 22:07,Maybe a ring design for you finger? Or a bracelet. They're typically small and don't get in the way for most mundane tasks.,No.,2,09.01.24 22:07,2
37,,09.01.24 21:50,,,,1,1,2,09.01.24 21:52,66,2,1,,1,386,3,9,2,,,,,,,,,,,,0,09.01.24 21:56,6,5,5,4,5,6,3,1,probably while eating or in a meeting with someone ,I feel the wrist is the best place in the body to place the light logger,2,09.01.24 22:00,5,5,5,4,19,5,5,3,2,probably when I am eating or in a conference meeting with group of people,The chest region is also a nice place for the light logger to be.,2,09.01.24 22:02,5,6,4,3,5,5,3,2,When I am in the office,"The placement of a light logger in glasses involves integrating the device into the frame or temples of the glasses. This positioning allows the light logger to efficiently measure and record light exposure levels experienced by the wearer, usually capturing data related to ambient light conditions or specific light wavelengths near the eyes.",2,09.01.24 22:05,5,4,4,3,3,4,3,2,3," A whole lot of situations, in public, in office, even at home","The placement of a light logger in a hat typically involves embedding or attaching the device discreetly within the fabric or structure of the hat. This positioning allows the light logger to capture and record data regarding the amount and type of light exposure around the wearer's head, providing information on sunlight, indoor lighting, or specific wavelengths of light affecting the head area.",2,09.01.24 22:07,6,5,5,5,6,5,3,1,No situation,"The placement of a light logger in a neck loop involves integrating the device discreetly within the loop or pendant worn around the neck. This positioning enables the light logger to measure and record light exposure levels in the immediate vicinity of the neck and upper chest, capturing data related to ambient light conditions or specific wavelengths affecting this region of the body.",2,09.01.24 22:09,5,6,6,5,6,6,4,1,No situation ,"The placement of a light logger in a chest pin involves incorporating the device into a pin or small wearable accessory that is attached to the chest area, usually on clothing. This positioning allows the light logger to measure and record light exposure levels in close proximity to the chest, capturing data related to ambient light conditions or specific wavelengths affecting this specific region of the body.",2,09.01.24 22:12,6,5,5,4,5,4,4,1,No difficulty ,"The placement of a light logger in a necklace involves integrating the device discreetly within the pendant or chain worn around the neck. This positioning allows the light logger to measure and record light exposure levels in the vicinity of the neck and upper chest, capturing data related to ambient light conditions or specific wavelengths affecting this area of the body.",2,09.01.24 22:15,5,5,5,3,5,5,4,2,Not really ,"The placement of a light logger in a sleeve collar involves embedding or attaching the device within the collar or cuff of a sleeve. This positioning allows the light logger to measure and record light exposure levels around the neck and upper chest area, capturing data related to ambient light conditions or specific wavelengths affecting this particular part of the body.",2,09.01.24 22:16,"Fabric Integration: Creating light loggers as flexible, thin patches or threads that can be seamlessly integrated into clothing fabric. These could be woven into garments like shirts, hats, or even accessories like wristbands or scarves, ensuring constant contact with the skin without causing discomfort.",No,2,,0
38,,09.01.24 21:50,,,,1,1,2,09.01.24 21:51,57,2,1,,1,402,6,9,2,,,,,,,,,,,,0,09.01.24 21:53,5,5,5,5,5,5,7,2,Would be concerned about whether they are waterproof.  Might not wear in shower or while swimming.,"On the wrist, similar to a watch",2,09.01.24 21:55,4,3,4,3,19,3,3,3,3,During exercise I would be afraid it may fall off.,on t-shirt collar,2,09.01.24 21:56,4,3,3,3,3,4,2,3,I think it would be uncomfortable as it would cause unbalance weight in my glasses,Click on eyeglass arm,2,09.01.24 21:58,2,1,4,1,1,1,1,1,3,Since it requires wearing a cap at all times that could get uncomfortable and hot.,clip on to beany cap,2,09.01.24 21:59,4,3,5,4,3,5,4,1,would not work well when wearing a jacket,collar wrap around,2,09.01.24 22:00,5,5,5,5,5,5,7,1,when wearing a sweater or jacket,chest clip,2,09.01.24 22:01,4,4,5,4,4,3,4,2,Would bounce around too much while exercising,worn as necklace,2,09.01.24 22:03,4,5,5,5,5,5,5,1,issue when putting on sweater or jacket,Armband,2,09.01.24 22:03,It would be interesting if it could be made into the shape of a ring fitting on a finger.,no,2,09.01.24 22:04,2
39,,09.01.24 21:51,,,,1,1,2,09.01.24 21:53,22,1,1,,1,386,3,9,2,,,,,,,,,,,,0,09.01.24 21:58,4,5,3,3,4,5,2,4,probably at the gym since I'm inside and ill be lifting weights,around the wrist,2,09.01.24 22:00,4,4,2,2,19,4,1,2,4,"at the gym, it would just bother me or at a party",on our clothes,2,09.01.24 22:19,5,6,6,6,6,4,7,4,maybe at the gym,on the face,2,09.01.24 22:20,3,2,4,4,1,2,1,2,4,the gym or at a party,on the head,2,09.01.24 22:24,2,2,4,1,1,1,1,3,at the gym or anywhere really,around the neck,2,09.01.24 22:26,3,1,1,1,1,1,1,1,"anywhere, it would bug me",on the chest,2,09.01.24 22:28,4,1,4,1,1,1,2,3,anywhere,on the body around the neck,2,09.01.24 22:29,1,1,1,1,1,1,1,1,anywhere,around the arm,2,09.01.24 22:30,"a bandana, or ring",no,2,09.01.24 22:30,2
40,,09.01.24 21:51,,,,1,1,2,09.01.24 21:52,30,1,1,,1,387,4,9,2,,,,,,,,,,,,0,09.01.24 21:58,5,2,5,1,4,4,4,3,"It may be difficult to wear the light loggers possibly when cooking depending on the bulkiness of the device.  It would be difficult to wear while napping/sleeping. Also while swimming, if it is not water resistant.",The light logger seems to be wrapped around an individual's wrist.,2,09.01.24 22:00,1,2,1,4,19,2,1,3,2,It would be difficult to wear the light logger while exercising . Especially while running  or doing any sort of jumping.,The light logger is close the  neck/collar bone.,2,09.01.24 22:05,1,1,4,1,1,4,2,2,"It might be difficult to wear the light logger while at work. Especially if one already needs prescription glasses or a need to wear protective eye equipment while working.  Depending on the material of the glasses, it could be troublesome to wear if they become 'slippery' during exercise due to sweat.",Around the eyes/bridge of nose,2,09.01.24 22:08,2,1,4,1,1,1,1,1,3,"It would be difficult to wear the light loggers if you are in a more professional work setting trying to look presentable. Exercise would make one feel hotter, so it would  be uncomfortable to wear. ",On top/side of the head,2,09.01.24 22:10,4,1,4,1,1,3,4,2,This might be difficult to wear while exercising  as it continues to move around the neck area.,Around the neck/shoulders,2,09.01.24 22:13,1,1,4,1,1,5,4,1,"Depending on the work environment, it would be difficult to wear if  you would have to crawl underneath spaces.",Chest area,2,09.01.24 22:15,4,2,5,1,3,1,4,2,Activities such as running/jumping jacks. \swimming. Professional work environments.,Around the neck as a necklace,2,09.01.24 22:17,1,1,1,3,1,1,1,3,"Work situations where one has to lift/move arms frequently (construction, factory)",Around arm,2,09.01.24 22:21,An alternative design for light loggers could possibly be a ring along with the bracelet that was featured. Different colors could be included instead of one color (orange)  Perhaps a baseball cap with favorite sports teams/customization features.,This was an interesting survey on a unique product.,2,,0
41,,09.01.24 21:53,,,,1,1,2,09.01.24 21:55,66,2,1,,1,382,4,9,2,,,,,,,,,,,,0,09.01.24 22:05,1,2,6,6,6,7,5,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","he light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:09,4,6,5,5,19,5,4,4,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:11,5,5,6,5,4,5,4,5,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:12,5,5,4,5,5,5,5,4,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:21,5,5,4,5,5,5,4,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:22,5,6,6,5,5,5,4,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:23,5,5,5,5,5,5,4,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:24,5,5,6,5,5,4,5,4,"Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","The light logger is typically placed on the body in a location that ensures direct exposure to ambient light. Common positions include the wrist, where it can measure light easily, or other areas like the upper arm or chest for consistent monitoring. Proper placement is crucial for accurate light data collection.",2,09.01.24 22:25,Ring,no,2,09.01.24 22:26,2
42,,09.01.24 21:54,,,,1,1,2,09.01.24 21:54,35,2,1,,1,410,4,9,2,,,,,,,,,,,,0,09.01.24 21:57,4,5,3,5,5,6,4,1,If you're trying to take a shower especially if its not waterproof,Wrist,2,09.01.24 21:58,3,2,1,2,19,2,5,2,5,While trying to work or take a shower,neck area,2,09.01.24 21:59,1,1,1,1,1,1,1,7,I don't wear glasses so it would be difficult for me to put that on something I dont own,Eye/Ear area,2,09.01.24 22:00,4,3,4,1,3,4,5,2,3,I think the only time this would make sense to wear would be in the winter time if it's summer then I wouldn't be wearing a beanie so that would be difficult,Head,2,09.01.24 22:01,3,2,1,1,4,6,3,3,When taking a shower,Neck area,2,09.01.24 22:02,5,6,4,5,5,7,3,1,Maybe if you work out without a t shirt ,Chest,2,09.01.24 22:03,6,7,7,6,5,4,4,3,When running it would be jumping around a lot,chest,2,09.01.24 22:03,4,5,4,4,5,7,3,1,I don't think it would affect me much since it's on my arm,arm,2,09.01.24 22:04,Maybe one that can be attached to a backpack or to a shoe that way it can be easier to have on,I do not have anymore comments other than thank you for the opportunity.,2,09.01.24 22:05,2
43,,09.01.24 21:55,,,,1,1,2,09.01.24 21:57,31,2,1,,1,399,3,9,2,,,,,,,,,,,,0,09.01.24 22:00,4,5,5,5,5,6,6,2,Work would be the only place. ,On the wrist,2,09.01.24 22:02,4,4,4,4,19,4,4,3,4,"working out, jogging, work, daily activities. ",collar of the shirt,2,09.01.24 22:04,4,5,5,5,5,3,5,3,exercise ,Face,2,09.01.24 22:06,3,3,4,4,3,2,2,3,5,"work, exercise",head,2,09.01.24 22:07,4,5,5,6,4,5,5,2,depends on the weight,neck,2,09.01.24 22:08,5,6,6,6,4,5,6,1,none,chest,2,09.01.24 22:09,4,5,6,6,4,5,6,2,jogging,neck,2,09.01.24 22:09,6,6,7,7,7,7,7,1,none,upper arm,2,09.01.24 22:10,ankle or wrist band,no comments,2,09.01.24 22:11,2
44,,09.01.24 21:56,,,,1,1,2,09.01.24 21:56,19,2,1,,1,399,1,9,2,,,,,,,,,,,,0,09.01.24 21:58,5,3,6,4,2,3,7,2,I think that during some types of exercise wearing it could be cumbersome.,It's worn on the wrist like a watch.,2,09.01.24 21:59,4,3,7,3,19,2,5,7,2,I just think that it might be a little embarrassing to wear in social situations.,It's worn on your collar.,2,09.01.24 22:00,5,6,7,6,4,1,6,3,It would probably be difficult to wear while working out.,They are worn as glasses.,2,09.01.24 22:01,3,2,4,6,1,1,1,3,4,I think it could make exercising difficult. It would also be difficult to wear in situations where it would be inappropriate to wear a hat.,It's attached to a hat you wear.,2,09.01.24 22:02,4,3,7,3,1,5,7,2,It might be difficult to wear in more formal situations.,You wear it around your neck like certain types of workout earbuds.,2,09.01.24 22:03,4,4,7,5,3,6,7,1,If it's too bulky it might look weird if you wear it around in public.,You wear on it on your chest.,2,09.01.24 22:04,2,2,7,1,2,3,5,2,It might be difficult to wear while exercising.,Around your neck like a necklace.,2,09.01.24 22:06,3,2,7,3,2,6,7,2,It might be difficult to wear while wearing a long-sleeved shirt.,You wear it on your upper arm.,2,09.01.24 22:07,You could possibly wear it on your waistband like you would a badge.,N/A,2,09.01.24 22:07,2
45,,09.01.24 21:56,,,,1,1,2,09.01.24 21:57,26,2,1,,1,386,1,9,2,,,,,,,,,,,,0,09.01.24 22:00,4,5,1,3,2,6,7,1,It depends on the context of where. Maybe in the water it might be difficult  to wear or in a dark place where there isn't light to log.,On the wrist where a watch would be.,2,09.01.24 22:02,1,1,1,1,19,1,5,2,1,Wearing this during social settings might throw others off because of the placement of the light sensor.,On the collar of a shirt.,2,09.01.24 22:03,4,5,1,5,6,3,5,2,At home would be the most difficult because they look like glasses and most people would take them off at home to be comfortable.,Over the eyes like glasses.,2,09.01.24 22:06,3,3,4,2,2,2,2,2,3,In most situations it would be difficult as it seems to be over a hat or a beanie. And most people don't wear those everyday.,Looks to be placed on the end of a beanie.,2,09.01.24 22:10,4,3,5,3,2,6,3,1,The most difficult would be in social settings.,Around the neck.,2,09.01.24 22:15,4,3,5,5,4,5,4,1,"Maybe when wearing it to go to a social settings, but otherwise it does not seem to be too difficult.",On the chest over a shirt.,2,09.01.24 22:18,4,3,1,2,1,5,3,1,Mostly social settings it would be difficult to wear.,Around the neck.,2,09.01.24 22:22,5,5,5,3,3,7,4,2,In everyday settings this arm band could be difficult to wear around the arm and could cut of blood circulation if worn too long.,around the arm.,2,09.01.24 22:23,Something that could attach on any part of the body and still be away from normal wear. Like on the belt or something.,None.,2,09.01.24 22:23,2
46,,09.01.24 21:56,,,,1,1,2,09.01.24 21:57,27,2,1,,0,402,7,9,2,,,,,,,,,,,,0,09.01.24 21:58,4,3,5,2,2,4,3,1,It might be difficult wearing the light logger at work,It is placed on the wrist,2,09.01.24 22:00,2,2,3,1,19,1,4,1,4,It might be difficult wearing it when exercising ,It is placed around the neck on a shirt,2,09.01.24 22:01,1,1,2,1,1,1,1,2,It might be difficult wearing at social settings,They are worn on the face,2,09.01.24 22:02,3,2,4,3,1,1,3,2,2,It would be difficult to wear while at work,It is placed on a hat which is then worn on the head,2,09.01.24 22:03,1,1,1,1,1,1,1,5,It would be difficult to wear at work or when exercising ,It is wrapped around the neck,2,09.01.24 22:04,4,4,4,3,3,4,3,1,It might be difficult to wear at work,It is placed on the chest,2,09.01.24 22:05,4,4,4,2,2,4,4,2,It would be difficult to wear at work,It is wrapped around the neck,2,09.01.24 22:06,5,5,5,2,3,4,7,1,It would be difficult to wear at work,It is wrapped around the arm,2,09.01.24 22:07,No,No,2,09.01.24 22:08,2
47,,09.01.24 21:57,,,,1,1,2,09.01.24 21:58,40,1,1,,0,402,7,9,2,,,,,,,,,,,,0,09.01.24 22:00,3,1,4,3,2,5,3,2,Maybe like excercise,on the hand,2,09.01.24 22:01,4,5,3,4,19,4,6,3,1,I dont know,near the throat,2,09.01.24 22:01,4,3,3,2,1,4,2,1,Like pushups or something,the eyes,2,09.01.24 22:02,5,3,4,4,4,4,3,2,1,dont know,head,2,09.01.24 22:03,6,5,5,4,6,3,4,1,dont know,neck,2,09.01.24 22:03,7,6,6,5,6,5,5,1,idk,the chest,2,09.01.24 22:03,5,6,6,6,4,4,4,1,pushups,the chest,2,09.01.24 22:04,7,5,5,3,3,7,5,1,idk,hand,2,09.01.24 22:04,no,no,2,09.01.24 22:04,2
48,,09.01.24 21:57,,,,1,1,2,09.01.24 21:58,21,2,1,,1,399,1,9,2,,,,,,,,,,,,0,09.01.24 22:00,3,3,2,2,3,5,5,2,Probably in situations like working out or going to the gym it might be difficult having that on while using equipment,it looks like its located on the wrist,2,09.01.24 22:02,5,5,2,2,19,4,5,4,3,When your going on a job and not wearing a shirt or going for a swim in situations where you wont have a shirt on. ,Its located on the lower neck near the collar bone on the shirts collar ,2,09.01.24 22:03,3,3,4,1,2,4,3,5,It feels like this is something that can only be worn when outside as it would seem like a camera that you are using to record people with even though its not,Located on the glasses near the ear and head,2,09.01.24 22:04,5,5,4,3,1,5,6,4,2,Maybe when it gets to hot and you have to take the beanie off only then will it be difficult to use.,Its located on the top of the head where one would ware a beanie,2,09.01.24 22:05,5,5,5,4,5,6,5,1,I feel like this placement is the best for comfort and just having it on for a while. it also looks the best in my opinion,Its located on the neck like a chain and worn almost on the collar bone.,2,09.01.24 22:06,5,5,5,5,4,7,5,3,in situations like swimming where you wouldnt have a shirt on it would be difficult to use this device,Its located near the chest on a shirt,2,09.01.24 22:07,3,3,3,1,2,5,3,2,It might be difficult in jogging situations where it would be bouncing up and down non stop but other then the ugly design ,Its located near the center of the chest and is worn with a neckalce or chain,2,09.01.24 22:08,4,3,4,1,3,6,3,1,This just seems like an item that would only be worn during fitness and excersise. ,Its located on the bicep ,2,09.01.24 22:09,The design i think is the best for continuous ware is the one that lays on the collar bone and is shaped like a U. That can be worn with and without a shirt and can fit everyone comfortably ,I don't I thought the questions were straightforward forward and it was a simple survey. ,2,09.01.24 22:09,2
49,,09.01.24 21:58,,,,1,1,2,09.01.24 21:59,26,2,1,,1,385,4,9,2,,,,,,,,,,,,0,09.01.24 22:00,4,5,5,6,5,6,5,2,during physical work,on the wrist,2,09.01.24 22:01,5,4,5,2,19,3,2,3,3,during work ,near the neck,2,09.01.24 22:02,3,3,3,2,3,2,2,6,during work ,on the head attached to glasses,2,09.01.24 22:03,3,3,4,3,4,2,5,3,5,wearing a hat is not always practical,attached to a hat on the head,2,09.01.24 22:03,5,5,6,5,4,5,5,5,social settings ,near the shoulders and neck,2,09.01.24 22:04,6,6,6,6,6,6,5,2,going through security at the airport,on the chest,2,09.01.24 22:14,5,5,4,3,4,3,4,4,physical work,near the chest on a necklace,2,09.01.24 22:14,6,6,6,6,5,5,5,4,airport security,on a band located on the arm,2,09.01.24 22:15,"an alternative design could be a band located on the leg, allowing for comfort and style as well as practicality.",none,2,09.01.24 22:16,2
50,,09.01.24 22:01,,,,1,1,2,09.01.24 22:02,34,2,0,nonbinary,1,384,3,9,2,,,,,,,,,,,,0,09.01.24 22:03,4,3,5,3,3,3,4,2,I can't really think of many. ,Its around the wrist.,2,09.01.24 22:04,4,3,4,3,19,3,4,4,2,There wouldn't be many.,It clips onto a shirt collar,2,09.01.24 22:05,3,1,1,1,1,1,1,1,It looks like it would replace my glasses which I already wear,It looks like a pair of glasses,2,09.01.24 22:06,3,3,2,3,3,3,3,1,2,None really,It clips onto a hat or helmet,2,09.01.24 22:07,4,4,4,4,4,4,1,1,I don't see many problems.,It looks to be a pair of earphones or  maybe clips onto them,2,09.01.24 22:07,4,5,5,5,5,5,4,1,I can't think of any,It is small and unobtrusive which is good.,2,09.01.24 22:08,4,4,4,4,4,4,1,1,I can't think of any,It is meant to be worn as a necklace,2,09.01.24 22:09,4,4,4,4,4,4,3,1,I don't see any issues,Its worn as a sleeve collar which would keep it out of the way,2,09.01.24 22:09,I think the best thing is to keep them small and out of the way,N/A,2,09.01.24 22:09,2
51,,09.01.24 22:03,,,,1,1,2,09.01.24 22:04,36,2,1,,1,402,4,9,2,,,,,,,,,,,,0,09.01.24 22:21,6,6,7,6,6,6,5,1,when maybe washing your utensils or dress.,"The light logger is located on the wrist of the person. It is positioned on the top of the wrist, centered between the hand and the forearm. It is attached to the wrist with a velcro strap and is visible to the naked eye",2,09.01.24 22:30,6,6,7,5,19,5,6,4,5,maybe swimming.,this is a light logger on the color of a shirt ,2,09.01.24 22:32,6,6,7,7,6,6,3,5,when i am climbing a mountain or hill as a trip.,this logger is located on the face of a person .,2,09.01.24 22:36,6,6,4,7,6,6,7,6,6,na ,THIS IS POSITION AT THE HEAD SIDE,2,09.01.24 22:38,7,6,6,5,6,5,5,5,WHEN MAYBE I AM GOING TO VISIT MY GRANDMA ,IT IS P[LACED ANGA`ROUND THE  NECK ,2,09.01.24 22:39,6,5,6,7,5,6,4,2,na ,IT IS LOCATED AT THE POCKET SIDE OF A SHIRT.,2,09.01.24 22:42,5,6,6,6,6,6,3,3,i can wear to anyplace ,it is located at the neck side of the body.,2,09.01.24 22:43,7,6,6,6,6,6,3,2,maybe when i am playing football.,it is located at the arm of the body.,2,09.01.24 22:44,NA ,na,2,09.01.24 22:45,2
52,,09.01.24 22:08,,,,1,1,2,[not completed],72,1,1,,1,,3,9,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0,,0
